,LINE,STOP,Latitude,Longitude,Text
0,Dupont Circle - Rosslyn,ROSSLYN METRO STATION,38.89732743543789,-77.07156043600114,ROSSLYN METRO STATION. Line: Dupont Circle - Rosslyn
1,Dupont Circle - Rosslyn,M STREET AND 34TH STREET NW,38.90498831787134,-77.0674214826061,M STREET AND 34TH STREET NW. Line: Dupont Circle - Rosslyn
2,Dupont Circle - Rosslyn,M STREET AND THOMAS JEFFERSON STREET NW,38.90511610462451,-77.06047237197404,M STREET AND THOMAS JEFFERSON STREET NW. Line: Dupont Circle - Rosslyn
3,Georgetown - Union Station,WISCONSIN AVENUE AND M STREET NW,38.90496072579606,-77.06269491822385,WISCONSIN AVENUE AND M STREET NW. Line: Georgetown - Union Station
4,Georgetown - Union Station,(LOWER) K STREET AND WISCONSIN AVENUE NW,38.90268785039064,-77.06253654251536,(LOWER) K STREET AND WISCONSIN AVENUE NW. Line: Georgetown - Union Station
5,Georgetown - Union Station,30TH STREET AND (LOWER) K STREET NW,38.90271917585059,-77.05883289513264,30TH STREET AND (LOWER) K STREET NW. Line: Georgetown - Union Station
6,Union Station - Navy Yard,1ST STREET AND MASSACHUSETTS AVENUE NE,38.89686160493445,-77.00801413315031,1ST STREET AND MASSACHUSETTS AVENUE NE. Line: Union Station - Navy Yard
7,Potomac Ave Metro to Skyland; Union Station - Navy Yard,8TH STREET AND D STREET SE,38.88347138150064,-76.99508697041973,8TH STREET AND D STREET SE. Line: Potomac Ave Metro to Skyland; Union Station - Navy Yard
8,Union Station - Navy Yard; Potomac Ave to Skyland,8TH STREET AND G STREET SE,38.881095326216155,-76.99473942117329,8TH STREET AND G STREET SE. Line: Union Station - Navy Yard; Potomac Ave to Skyland
9,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 14TH STREET SE,38.866888774171755,-76.98539063493101,GOOD HOPE ROAD AND 14TH STREET SE. Line: Potomac Ave Metro to Skyland
10,Dupont Circle - Rosslyn,M STREET AND 24TH STREET NW,38.90535906771864,-77.05183609670067,M STREET AND 24TH STREET NW. Line: Dupont Circle - Rosslyn
11,Georgetown - Union Station,NEW YORK AVENUE AND 9TH STREET NW,38.90185820488776,-77.0244526340778,NEW YORK AVENUE AND 9TH STREET NW. Line: Georgetown - Union Station
12,Potomac Ave Metro to Skyland,8TH STREET AND L STREET SE,38.8771106005856,-76.9951517660142,8TH STREET AND L STREET SE. Line: Potomac Ave Metro to Skyland
13,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 18TH STREET SE,38.865559066879015,-76.97875170252517,GOOD HOPE ROAD AND 18TH STREET SE. Line: Potomac Ave Metro to Skyland
14,Potomac Ave Metro to Skyland,ALABAMA AVENUE AND 30TH STREET SE,38.86055564536176,-76.96497840174949,ALABAMA AVENUE AND 30TH STREET SE. Line: Potomac Ave Metro to Skyland
15,Potomac Ave Metro to Skyland,GOOD HOPE ROAD AND 25TH STREET SE,38.86149443120173,-76.96956076192336,GOOD HOPE ROAD AND 25TH STREET SE. Line: Potomac Ave Metro to Skyland
16,Potomac Ave Metro to Skyland; Union Station - Navy Yard,8TH STREET AND L STREET SE,38.8778594364436,-76.99487466405553,8TH STREET AND L STREET SE. Line: Potomac Ave Metro to Skyland; Union Station - Navy Yard
17,Potomac Ave Metro to Skyland; Union Station - Navy Yard,8TH STREET AND G STREET SE,38.88098289742185,-76.99473629318486,8TH STREET AND G STREET SE. Line: Potomac Ave Metro to Skyland; Union Station - Navy Yard
18,Potomac Ave Metro to Skyland,MLK JR BLVD AND W STREET SE,38.864248624454476,-76.98998024426712,MLK JR BLVD AND W STREET SE. Line: Potomac Ave Metro to Skyland
19,Potomac Ave Metro to Skyland; Union Station - Navy Yard,8TH STREET AND E STREET SE,38.88281855467133,-76.99487091878412,8TH STREET AND E STREET SE. Line: Potomac Ave Metro to Skyland; Union Station - Navy Yard
