,ROUTES,Longitude,Latitude,OBJECTID,Text
0,"16A,16B,16E,29C,29G,29K,29KV1,29N,3A",-77.20453,38.831697,2001,"Routes: 16A,16B,16E,29C,29G,29K,29KV1,29N,3A"
1,"29C,29G,29K,29KV1,29N",-77.166547,38.823334,2002,"Routes: 29C,29G,29K,29KV1,29N"
2,"29C,29G,29K,29KV1,29N",-77.181217,38.82739,2003,"Routes: 29C,29G,29K,29KV1,29N"
3,"17A,17B,17M,29C,29G,29K,29KV1,29N,7A,7AC,7F,7H",-77.142189,38.817771,2004,"Routes: 17A,17B,17M,29C,29G,29K,29KV1,29N,7A,7AC,7F,7H"
4,,-77.14161,38.817882,2005,
5,"29K,29KV1,29N",-77.267386,38.840387,2006,"Routes: 29K,29KV1,29N"
6,"29K,29KV1,29N",-77.26842099999999,38.84089,2007,"Routes: 29K,29KV1,29N"
7,"29C,29K,29KV1,29N",-77.22425799999999,38.835264,2008,"Routes: 29C,29K,29KV1,29N"
8,"29C,29G,29K,29KV1,29N",-77.174819,38.825656,2009,"Routes: 29C,29G,29K,29KV1,29N"
9,"29K,29KV1,29N",-77.26231700000001,38.840058,2010,"Routes: 29K,29KV1,29N"
10,"16A,16B,16E,29C,29G,29K,29KV1,29N",-77.196386,38.830391999999996,2011,"Routes: 16A,16B,16E,29C,29G,29K,29KV1,29N"
11,"29C,29G,29K,29KV1,29N",-77.180424,38.827415,2012,"Routes: 29C,29G,29K,29KV1,29N"
12,"17A,17B,17M,29C,29G,29K,29KV1,29N,7X",-77.147774,38.819373,2013,"Routes: 17A,17B,17M,29C,29G,29K,29KV1,29N,7X"
13,"17A,17B,17M,29C,29G,29K,29KV1,29N,7X",-77.147459,38.819081,2014,"Routes: 17A,17B,17M,29C,29G,29K,29KV1,29N,7X"
14,"29K,29KV1,29N",-77.262264,38.839785,2015,"Routes: 29K,29KV1,29N"
15,"29K,29KV1,29N",-77.247568,38.837852000000005,2016,"Routes: 29K,29KV1,29N"
16,"17A,17B,17M,29C,29G,29K,29KV1,29N",-77.158735,38.821412,2017,"Routes: 17A,17B,17M,29C,29G,29K,29KV1,29N"
17,"29K,29KV1,29N",-77.239224,38.837072,2018,"Routes: 29K,29KV1,29N"
18,"29K,29KV1,29N",-77.239331,38.836806,2019,"Routes: 29K,29KV1,29N"
19,"29K,29KV1,29N",-77.24284399999999,38.837209,2020,"Routes: 29K,29KV1,29N"
20,"29K,29KV1,29N",-77.242769,38.837512,2021,"Routes: 29K,29KV1,29N"
21,"29C,29G,29K,29KV1,29N",-77.170548,38.824334,2022,"Routes: 29C,29G,29K,29KV1,29N"
22,"16A,16B,16E,29C,29G,29K,29KV1,29N,3A",-77.207353,38.832466,2023,"Routes: 16A,16B,16E,29C,29G,29K,29KV1,29N,3A"
23,"16A,16B,16E,29C,29G,29K,29KV1,29N,3A",-77.206866,38.832074,2024,"Routes: 16A,16B,16E,29C,29G,29K,29KV1,29N,3A"
24,"16A,16B,16E,29C,29G,29K,29KV1,29N,3A",-77.208669,38.832357,2025,"Routes: 16A,16B,16E,29C,29G,29K,29KV1,29N,3A"
25,"D13,D13C,D14,D14C",-76.995144,38.781119,2026,"Routes: D13,D13C,D14,D14C"
26,"D13,D14,D14V1",-76.99519000000001,38.781299,2027,"Routes: D13,D14,D14V1"
27,,-76.989891,38.78759,2028,
28,"D13,D13C,D14,D14C",-76.993105,38.781597,2029,"Routes: D13,D13C,D14,D14C"
29,"D12,D12V2",-76.990422,38.807434,2030,"Routes: D12,D12V2"
30,D12,-76.99064,38.807525,2031,Routes: D12
31,"D13,D14,D14V1",-76.990852,38.785875,2032,"Routes: D13,D14,D14V1"
32,"D13,D13C,D14,D14C",-76.99067099999999,38.785880999999996,2033,"Routes: D13,D13C,D14,D14C"
33,"P17,P18,P19",-76.999215,38.742841999999996,2034,"Routes: P17,P18,P19"
34,"P17,P18,P19",-76.99902800000001,38.742782,2035,"Routes: P17,P18,P19"
35,"D13,D13C,D14,D14C",-76.992059,38.782816,2036,"Routes: D13,D13C,D14,D14C"
36,"D13,D14,D14V1",-76.992289,38.78275,2037,"Routes: D13,D14,D14V1"
37,"W19,W19V2",-77.010318,38.670117,2038,"Routes: W19,W19V2"
38,"W19,W19V2",-77.01064000000001,38.669987,2039,"Routes: W19,W19V2"
39,,-76.99587,38.814939,2040,
40,D12,-76.990463,38.804887,2041,Routes: D12
41,"D12,D12V2",-76.990296,38.804893,2042,"Routes: D12,D12V2"
42,"W13,W13V1,W14",-76.98861,38.80275,2043,"Routes: W13,W13V1,W14"
43,"W13,W13C,W14",-76.989005,38.802803000000004,2044,"Routes: W13,W13C,W14"
44,D12,-76.995231,38.814389,2045,Routes: D12
45,"D13,D13C,D14,D14C",-76.988315,38.790451000000004,2046,"Routes: D13,D13C,D14,D14C"
46,"D13,D14,D14V1",-76.98831700000001,38.79072,2047,"Routes: D13,D14,D14V1"
47,"D12,D14,D14C",-76.99633,38.816097,2048,"Routes: D12,D14,D14C"
48,"D12,D12V2,D14,D14V1",-76.995951,38.815647999999996,2049,"Routes: D12,D12V2,D14,D14V1"
49,"A46,A46V1,A48,A48V1,A6,A6V1,A8,A8V1,A9",-77.001203,38.826733000000004,2050,"Routes: A46,A46V1,A48,A48V1,A6,A6V1,A8,A8V1,A9"
50,,-76.98776,39.040884999999996,2051,
51,"Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9",-76.997316,39.035334000000006,2052,"Routes: Z2V2,Z2V4,Z2V5,Z2VS,Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9"
52,"Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9",-76.997221,39.035213,2053,"Routes: Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9"
53,"Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9",-76.981403,39.041529,2054,"Routes: Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9"
54,"Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9",-76.981475,39.041633000000004,2055,"Routes: Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9"
55,"Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9",-76.983603,39.041327,2056,"Routes: Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9"
56,"Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9",-76.983399,39.041502,2057,"Routes: Z6,Z6V1,Z8,Z8V1,Z8V2,Z8V3,Z8V4,Z8V5,Z8V9"
57,"Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9",-76.999725,39.034101,2058,"Routes: Z2V4,Z2V5,Z2VS,Z6,Z6C,Z8,Z8C,Z8V1,Z8V2,Z8V3,Z8V9"
