X,Y,OBJECTID,X,Y,WARD,SPACENUM,ZIPCARID,LOCATION,LANDMARK,ADDRESS,STATUS,VENDOR
-76.989198789853759,38.866149329201157,1,400937.58112678,133146.80851297,8,81,0881MLK,On V St b/t MLK Jr Ave & Shannon Pl,"In MLK professional development; b/t 2041 and 2101 MLK",2050 - 2124 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,1,Zipcar
-76.989523425542444,38.865427124387217,2,400909.41680675,133066.6351609,8,82,0882MLK,On V St b/t MLK Jr Ave & Shannon Pl,In MLK professional development b/t 2041 and 2101 MLK Jr Ave,2050 - 2124 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,1,Hertz
-77.007310687673169,38.826070190569787,3,399365.38348953,128697.71465585,8,83,0883ELMI,"On Elmira St, at S. Capitol St",Across from Crescent Park rental office,1 Elmira Street SE,1,Zipcar
-77.006878685708188,38.826058374077633,4,399402.89577364,128696.40002084,8,84,0884ELMI,On Elmira St at S. Capitol St,Across Crescent Park rental office,1/2Elmira Street SE,1,Hertz
-76.985509785711926,38.879981754593572,5,401257.48767143,134682.35539975,6,59,065914TH,On 14th St SE at Potomac Ave,By Potomac Yard Metro,902 14th Street SE,1,Hertz
-76.985509738693324,38.879925970682081,6,401257.49275032,134676.16291101,6,60,066014TH,On 14th St SE at Potomac Ave,By Potomac Yard Metro,904 14th Street SE,1,Hertz
-76.995916279026417,38.883756028326651,7,400354.51635176,135101.23675817,6,63,0663DST,On D St at 8 St SE ,"Across from Long & Foster Realtors, 721 D St SE",720 D Street SE,1,Zipcar
-76.999490166362335,38.886053822656081,8,400044.43161394,135356.30179502,6,64,0664NCAR,On North Carolina Ave at 6th St SE (south side),"On triangle; near Pennsylvania Ave",End of 500 block of North Carolina Avenue SE,1,Zipcar
-77.009216086478105,38.897348238232709,9,399200.72957738,136610.11061242,6,65,0665FST,"On F St NW, at N. Capitol St",Across from Dubliner Restaurant 4 F St NW,5 F Street NW,1,Hertz
-77.009148420666008,38.89734837079574,10,399206.59937755,136610.12472925,6,66,0666FST,On F St NW at N. Capitol St,Across from Dubliner Restaurant 4 F St NW,3 F Street NW,1,Hertz
-77.018979056115725,38.879290485190076,11,398353.40378038,134606.10693033,6,67,0667ST,On I St SW b/t 5th St and 6th St,Near Southeastern University & Waterside Mall,End of 500 block of I Street SW,1,Zipcar
-77.018915494685913,38.879294245246783,12,398358.91900438,134606.10693033,6,68,0680IST,On I St SW b/t 5th St and 6th St,Near Southeastern University & Waterside Mall,End of 500 Block of I Street SW,1,Zipcar
-77.020682849289642,38.88666694036251,13,398205.75279624,135424.56580309,6,71,0671MARY,On Maryland Ave SW just east of 7th St,Near LEnfant Plaza Metro,600-699 Block of Maryland Avenue SW,1,Zipcar
-77.02093209869949,38.886603823207452,14,398184.12633222,135417.56425108,6,72,0672MARY,On Maryland Ave SW just east of 7th St,Near LEnfant Plaza Metro, 600-699 Block of Maryland Avenue SW,1,Zipcar
-76.99617730240206,38.884290853757015,15,400331.86654844,135160.60549618,6,73,06737TH,On 7th St near South Carolina Ave,Across SE branch of public library,402 7th Street SE,1,Hertz
-76.990242447324675,38.899640833619017,16,400846.61001469,136864.6118109,6,74,067412TH,On 700 block of 12th St NE,"Near intersection with H St; at Auto Zone",Adjacent to 727 12th Street NE,1,Hertz
-76.94837795570534,38.893135753825788,17,404469.41373006,136143.71733175,7,75,0775DIX,On south side of Dix St NE,"Across from 3915c Dix St; near Safeway and intersection of Minnesota Ave & Benning Rd",Adjacent to 3915c Dix Street NE,1,Hertz
-76.948482932922431,38.893178616400952,18,404469.41373006,136148.47021976,7,76,0776DIX,On south side of Dix St NE,"Across from 3915c Dix St; near Safeway and intersection of Minnesota Ave & Benning Rd",Adjacent to 3915c Dix Street NE,1,Hertz
-76.937508252044154,38.890088671472775,19,405408.74637093,135805.14270744,7,77,0777CENT,On north side of Central Ave NE at 46th St (4500 block),"Next to Benning Rd Metro station; near intersection with Benning Rd and E. Capitol St",Middle of 4500 Block of Central Avenue NE,1,Zipcar
-76.937657863583624,38.890080517195422,20,405408.74637093,135805.14270744,7,78,0778CENT,On north side of Central Ave NE at 46th St (4500 block),"Next to Benning Rd Metro station; near intersection with Benning Rd and E. Capitol St",Middle of 4500 Block of Central Avenue NE,1,Hertz
-76.946364953624098,38.898380727410355,21,404644.05668221,136726.42409229,7,79,0779GRAN,On north side of Grant St NE (4000 block),Across from Minnesota Ave Metro station and Northside Medical Services Corp,4000 Block Grant Street NE,1,Hertz
-76.94646590120135,38.898384130453906,22,404644.05668221,136726.42409229,7,80,0780GRAN,On north side of Grant St NE (4000 block),Across from Minnesota Ave Metro station and Northside Medical Services Corp,4000 Block Grant Street NE,1,Zipcar
-77.046652181083445,38.901079105872107,23,395953.33038333,137025.26042857,2,17,021721ST,On 21st St b/t I St and Pennsylvania Ave,Across from TGI Fridays,935 21st Street NW,1,Hertz
-77.046653825542535,38.901135633235405,24,395953.33038333,137031.53550879,2,18,021821ST,On 21st St b/t  I St and Pennsylvania Ave,Across from TGI Fridays,935 21st Street NW,1,Hertz
-77.031952399030089,38.911240012655135,25,397228.79680743,138143.63152252,2,19,021914TH,On 14th St b/t Q St and Corcoran St,Side of 1601 14th St,1601 14th Street NW,1,Hertz
-77.031954254254103,38.911158729872419,26,397228.79680743,138143.63152252,2,20,022014TH,On 14th St b/t Q St and Corcoran St,Side of 1601 14th St,1601 14th Street NW,1,Hertz
-77.037657673140075,38.907183268575629,27,396733.54319492,137702.5114132,2,21,0221BATN,On Bataan St b/t Massachusetts Ave and Rhode Island Ave (south end),"Next to park, on Western end of Scott Circle",1252 Bataan Street NW,1,Zipcar
-77.037657755538405,38.907339330317861,28,396733.54319492,137710.45164125,2,22,0222BATN,On Bataan St b/t Massachusetts Ave and Rhode Island Ave (north end),"Next to park, on Western end of Scott Circle",1252 Bataan Street NW,1,Zipcar
-77.037657652049887,38.907143323871956,29,396733.54319492,137698.0772692,2,23,0223BATN,On Bataan St b/t Massachusetts Ave and Rhode Island Ave (south end),"Next to park, on Western end of Scott Circle",1252 Bataan Street NW,1,Zipcar
-77.037657787418667,38.907399711019458,30,396733.54319492,137710.45164125,2,24,0224BATN,On Bataan St b/t Massachusetts Ave and Rhode Island Ave (north end),"Next to park, on Western end of Scott Circle",1252 Bataan Street NW,1,Zipcar
-77.066158002220803,38.903524473534034,31,394261.68248058,137295.38253344,2,25,0225WATR,"On Water St, near intersection of 33rd St",Across from 3301 Water St,Across from 3302 Water St NW (parkland),1,Zipcar
-77.066063955954576,38.903503098124943,32,394269.83832004,137295.38253344,2,26,0226WATR,On Water St near intersection of 33rd St,Across 3301 Water St,Across from 3302 Water St NW (parkland),1,Zipcar
-77.0278432626002,38.898321282693495,33,397584.90957967,136718.68514008,2,27,0227GST,On north side of G St and 11th St,Near Cosi & Metro Center Metro,1170 G Street NW,1,Zipcar
-77.027768752677076,38.898323379672725,34,397591.37307805,136718.68514008,2,28,0228GST,On north side of G St and 11th St,Near Cosi & Metro Center Metro,1170 G Street NW,1,Hertz
-77.031947301271018,38.907259937136054,35,397228.76088203,137710.83343721,2,29,022914TH,"On 14th St, near intersection with N St","In front of 1301 14th St, Eden House",1301 14th Street NW,1,Hertz
-77.031952937576619,38.907295066466801,36,397228.76088203,137714.73324504,2,30,023014TH,On 14th St near intersection with N St,"In front of 1301 14th St, Eden House",1301 14th Street NW,1,Hertz
-77.031822777106413,38.896121720192646,37,397222.93560331,136474.39827273,2,31,0231PENN,On Pennsylvania at 14th St,In front of Willard Hotel,1401 Pennsylvania Avenue NW,1,Zipcar
-77.032015083593691,38.896121667643861,38,397222.93560331,136474.39827273,2,32,0232PENN,On Pennsylvania Ave at 14th St,In front of Willard Hotel,1401 Pennsylvania Avenue NW,1,Zipcar
