,Streets,Latitude,Longitude,crime 2011,crime 2012,crime 2013,mean,Text
0,3100 - 3299 BLOCK OF 14TH STREET NW,38.9295706,-77.0331958,259.0,303.0,267.0,276.3333333333333,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
1,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,38.9223955,-76.99369829999998,98.0,139.0,135.0,124.0,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
2,700 - 799 BLOCK OF 7TH STREET NW,38.8986211,-77.02224709999999,111.0,124.0,132.0,122.33333333333333,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
3,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,38.9075321,-77.0426866,133.0,159.0,126.0,139.33333333333334,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
4,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,38.900164200000006,-77.01706279999998,48.0,89.0,104.0,80.33333333333333,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
5,1000 - 1249 BLOCK OF BRENTWOOD ROAD NE,38.918139700000005,-76.99275540000001,33.0,32.0,101.0,55.333333333333336,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
6,3200 - 3275 BLOCK OF M STREET NW,38.904950899999996,-77.063,74.0,77.0,91.0,80.66666666666667,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
7,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,38.9590564,-77.08487439999998,96.0,80.0,84.0,86.66666666666667,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
8,2800 - 2999 BLOCK OF ALABAMA AVENUE SE,38.86095770000001,-76.96667430000001,61.0,65.0,80.0,68.66666666666667,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
9,3000 - 3099 BLOCK OF 14TH STREET NW,38.9275374,-77.0325222,33.0,38.0,77.0,49.333333333333336,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
10,1200 - 1299 BLOCK OF G STREET NW,38.8980284,-77.0285694,48.0,51.0,74.0,57.666666666666664,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
11,1600 - 1699 BLOCK OF MARYLAND AVENUE NE,38.9015306,-76.9807908,49.0,43.0,73.0,55.0,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
12,2400 - 2499 BLOCK OF 18TH STREET NW,38.92074909999999,-77.0422143,67.0,63.0,66.0,65.33333333333333,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
13,1300 - 1399 BLOCK OF U STREET NW,38.9169831,-77.0296281,51.0,55.0,64.0,56.666666666666664,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
14,1 - 99 BLOCK OF MASSACHUSETTS AVENUE NE,38.89739229999999,-77.00902059999999,46.0,56.0,62.0,54.666666666666664,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
15,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,38.9202111,-76.99951089999998,63.0,71.0,62.0,65.33333333333333,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
16,300 - 499 BLOCK OF 40TH STREET NE,38.892678000000004,-76.94726379999999,47.0,83.0,62.0,64.0,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
17,2500 - 2598 BLOCK OF BENNING ROAD NE,38.89954669999999,-76.970899,11.0,40.0,60.0,37.0,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
18,1200 - 1229 BLOCK OF 1ST STREET NE,38.9060314,-77.0063641,28.0,47.0,57.0,44.0,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
19,1400 - 1499 BLOCK OF P STREET NW,38.90950249999999,-77.03227779999999,52.0,51.0,56.0,53.0,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
20,1000 - 1099 BLOCK OF F STREET NW,38.8970239,-77.02639640000001,45.0,58.0,55.0,52.666666666666664,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
21,1350 - 1399 BLOCK OF POTOMAC AVENUE SE,38.880138099999996,-76.9868401,24.0,43.0,54.0,40.333333333333336,"Mean of incidents (2011-2013): 0     276.333333
1     124.000000
2     122.333333
3     139.333333
4      80.333333
5      55.333333
6      80.666667
7      86.666667
8      68.666667
9      49.333333
10     57.666667
11     55.000000
12     65.333333
13     56.666667
14     54.666667
...
2075    2.666667
2076    3.000000
2077    4.666667
2078    2.666667
2079    8.666667
2080    5.000000
2081    3.666667
2082    3.666667
2083    4.333333
2084    8.000000
2085    1.666667
2086    2.333333
2087    3.333333
2088    4.666667
2089    3.000000
Name: mean, Length: 2090, dtype: float64"
