X,Y,OBJECTID_1,GIS_ID,NAME,WEB_URL,EXIT_TO_ST,FEATURECOD,DESCRIPTIO,CAPTUREYEA,LINE,ADDRESS_ID
-77.0433192930102,38.908682886128517,1,mstn_010,Dupont Circle,http://www.wmata.com/rail/station_detail.cfm?station_id=6,SE CORNER OF 19TH STREET NW AND DUPONT CIRCLE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294836
-77.085765329327884,38.960453083843184,2,mstn_018,Friendship Heights,http://www.wmata.com/rail/station_detail.cfm?station_id=11,SW CORNER OF WISCONSIN AVENUE NW AND WESTERN AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294847
-76.995044660524897,38.933834318598727,3,mstn_003,Brookland | CUA,http://www.wmata.com/rail/station_detail.cfm?station_id=27,NE CORNER OF JOHN MCCORMICK ROAD NE AND MICHIGAN AVENUE NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294853
-76.934722619264576,38.908267505942156,4,mstn_009,Deanwood,http://www.wmata.com/rail/station_detail.cfm?station_id=65,SOUTH SIDE OF POLK STREET NE AT OLIVE STREET NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,orange,294858
-76.935172477221258,38.908560834027419,5,mstn_009,Deanwood,http://www.wmata.com/rail/station_detail.cfm?station_id=65,NORTH SIDE OF MINNESOTA AVENUE NE AT 48TH STREET NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,orange,294858
-77.022598085333811,38.912781330065634,6,mstn_032,Shaw | Howard Univ,http://www.wmata.com/rail/station_detail.cfm?station_id=72,NE CORNER OF R STREET NW AND 8TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294838
-77.003430469519884,38.907286966243362,7,mstn_029,NoMa-Gallaudet U,http://www.wmata.com/rail/station_detail.cfm?station_id=108,EAST SIDE OF 2ND STREET NE AT INTERSECTION WITH N STREET NE ,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294857
-77.017415567321365,38.975103948491892,8,mstn_035,Takoma,http://www.wmata.com/rail/station_detail.cfm?station_id=29,NE SIDE OF CEDAR STREET NW AND BLAIR ROAD NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294822
-77.00249101483854,38.952653872494786,9,mstn_017,Fort Totten,http://www.wmata.com/rail/station_detail.cfm?station_id=28,NORTH SIDE OF GALLOWAY STREET NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, green, yellow",294852
-77.079462493339975,38.948079369698483,10,mstn_036,Tenleytown | AU,http://www.wmata.com/rail/station_detail.cfm?station_id=10,NE CORNER OF ABLEMARLE STREET NW AND WISCONSIN AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294846
-77.058537425600363,38.935984684467471,11,mstn_006,Cleveland Park ,http://www.wmata.com/rail/station_detail.cfm?station_id=8,EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294817
-76.99436828480718,38.933630339967614,12,mstn_003,Brookland | CUA,http://www.wmata.com/rail/station_detail.cfm?station_id=27,SW CORNER OF MICHIGAN AVENUE NE AND 9TH STREET NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294853
-77.05238323295886,38.924510042687224,13,mstn_040,Woodley Park Zoo | Adams Morgan,http://www.wmata.com/rail/station_detail.cfm?station_id=7,SE CORNER OF CONNECTICUT AVENUE NW AND 24TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294827
-76.996074682808384,38.920478494095256,14,mstn_031,Rhode Island Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=26,SOUTH SIDE OF RHODE ISLAND AVENUE NE AT RHODE ISLAND PLACE SHOPPING CENTER,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294859
-77.025964353304531,38.916794069590004,15,mstn_005,U St | African Amer Civil | War Mem | Cardozo,http://www.wmata.com/rail/station_detail.cfm?station_id=73,SW CORNER OF U STREET NW AND VERMONT AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294840
-77.021684156213411,38.914505924418215,16,mstn_032,Shaw | Howard Univ,http://www.wmata.com/rail/station_detail.cfm?station_id=72,NE CORNER OF S STREET NW AND 7TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294838
-77.044617696374914,38.910945780306882,17,mstn_010,Dupont Circle,http://www.wmata.com/rail/station_detail.cfm?station_id=6,SE CORNER OF 20TH STREET NW AND Q STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294836
-77.039833846434419,38.903930455730929,18,mstn_012,Farragut North,http://www.wmata.com/rail/station_detail.cfm?station_id=4,NE CORNER OF L STREET NW AND CONNECTICUT AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294828
-77.022149963329852,38.905436073822734,19,mstn_026,Mt Vernon Sq | 7th St | Convention Cen,http://www.wmata.com/rail/station_detail.cfm?station_id=70,SW CORNER OF 7TH STREET NW AND M STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green, yellow",294834
-77.032134280659434,38.9008825976873,20,mstn_023,McPherson Sq,http://www.wmata.com/rail/station_detail.cfm?station_id=36,SW CORNER OF 14TH STREET NW AND I STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294841
-77.041946885890042,38.901481037545857,21,mstn_013,Farragut West,http://www.wmata.com/rail/station_detail.cfm?station_id=38,NW CORNER OF 18TH STREET NW AND I STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294819
-77.039344688100826,38.901252418961882,22,mstn_013,Farragut West,http://www.wmata.com/rail/station_detail.cfm?station_id=38,SE CORNER OF 17TH STREET NW AND I STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294819
-77.05046474599574,38.900902890115148,23,mstn_016,Foggy Bottom | GWU,http://www.wmata.com/rail/station_detail.cfm?station_id=40,NW CORNER OF 23RD STREET NW AND I STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294821
-76.946750672101714,38.898762647363583,24,mstn_025,Minnesota Ave,http://www.wmata.com/rail/station_detail.cfm?station_id=64,NW SIDE OF MINNESOTA AVENUE NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,orange,294856
-77.02681716120378,38.898163801523836,25,mstn_024,Metro Center,http://www.wmata.com/rail/station_detail.cfm?station_id=1,SE CORNER OF G STREET NW AND 11TH STREET NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"red, blue, orange",294812
-77.007202074090259,38.897492192704618,26,mstn_037,Union Station,http://www.wmata.com/rail/station_detail.cfm?station_id=25,NE CORNER OF 1ST STREET NE AND MASSACHUSETTS AVENUE NE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294849
-77.015987031673106,38.895321817776299,27,mstn_021,Judiciary Sq,http://www.wmata.com/rail/station_detail.cfm?station_id=23,NE CORNER OF 4TH STREET NW AND INDIANA AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,red,294829
-77.028658008467275,38.893810314188819,28,mstn_015,Federal Triangle,http://www.wmata.com/rail/station_detail.cfm?station_id=53,RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294809
-77.022439658900183,38.893944169453682,29,mstn_027,Archives | Navy Mem,http://www.wmata.com/rail/station_detail.cfm?station_id=81,NW CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green,yellow",294835
-77.021577494843342,38.886254898940749,30,mstn_022,LEnfant Plaza,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SE CORNER OF 7TH STREET SW AND MARYLAND AVENUE SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"green, yellow, orange, blue",294875
-77.028456629995517,38.887254869205101,31,mstn_033,Smithsonian,http://www.wmata.com/rail/station_detail.cfm?station_id=54,SW CORNER OF INDEPENDENCE AVENUE SW AND 12TH STREET SW,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294876
-76.977045780664568,38.885663092807725,32,mstn_034,Stadium | Armory,http://www.wmata.com/rail/station_detail.cfm?station_id=63,NE CORNER OF 19TH STREET SE AND C STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294863
-77.006054623143214,38.885569792133793,33,mstn_004,Capitol South,http://www.wmata.com/rail/station_detail.cfm?station_id=59,WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294860
-76.995815295987583,38.884252866505847,34,mstn_011,Eastern Market,http://www.wmata.com/rail/station_detail.cfm?station_id=60,SOUTH SIDE OF PENNSYLVANIA AVENUE SE BETWEEN 7TH STREET SE AND 8TH STREET SE,1370,Metro Station Entrance,1999-03-31T00:00:00.000Z,"blue, orange",294870
