X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,ADDR_ID,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,X,Y,ADDRID,ZIP_CODE,LONGITUDE,LATITUDE
-76.932457327007597,38.893322820182355,1,Kelly Miller Middle School,301 49TH STREET NE,Middle School,MS,Active,202-388-6870,,328, ,dcps_421,http://www.kellymillerms.com,294476,421,421,Y,,,,,,405859.65,136165.39,294476,20019,-76.93245515,38.89331541
-77.021187958731375,38.93442155569933,2,Bruce-Monroe Elementary School @ Park View,3560 WARDER STREET NW,Elementary School,ES,Active,202-576-6222,0,459, ,dcps_296,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294583,296,296,N,,1916,82200,,,398163.16,140725.73,294583,20010,-77.02118567,38.9344141
-76.984974814956317,38.885178932947547,3,Payne Elementary School,1445 C STREET SE,Elementary School,ES,Active,202-698-3262,,236, ,dcps_295,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294478,295,295,N,438,1953,,,,401302.84,135259.2,289721,20003,-76.984984,38.885171
-77.029445592325004,38.929206028480316,4,Tubman Elementary School,3101 13TH STREET NW,Elementary School,ES,Active,202-673-7285,,489, ,dcps_328,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294555,328,328,N,607,1970,66600,450,405,397447.02,140146.96,294555,20010,-77.0294433,38.92919857
-77.035860605961034,38.929552227177062,5,Columbia Heights Education Campus 6–8 (CHEC),3101 16TH STREET NW,Middle School,MS,Active,202-939-7700,0,429, ,dcps_475,http://www.checdc.org,234375,475,475,N,,,,,,396890.8,140185.59,234375,20010,-77.03585831,38.92954477
-76.99824127024489,38.842450628512154,6,King Elementary School,3200 6TH STREET SE,Elementary School,ES,Active,202-939-4900,,345, ,dcps_344,http://www.dcps.dc.gov/DCPS/king,294557,344,344,N,525,1971,65500,400,368,400152.88,130516.03,294557,20032,-76.99823899,38.84244319
-77.06454012273305,38.908027020954179,7,Hyde-Addison Elementary School,3219 O STREET NW,Elementary School,ES,Active,202-282-0170,0,308, ,dcps_252,http://www.hydeelementary.org/,294558,252,252,N,173,1907,20000,325,181,394402.37,137797.48,294558,20007,-77.06453782,38.90801957
-76.980312198988756,38.847642720238468,8,Turner Elementary School,3264 STANTON ROAD SE,Elementary School,ES,Active,202-645-3470,0,305, ,dcps_329,http://www.dcps.dc.gov/DCPS/turneratgreen,294561,329,329,N,,1965,77700,,,401708.96,131092.7,294561,20032,-76.98031323,38.84763644
-76.983400851758745,38.84165283786912,9,Malcolm X Elementary School @ Green,1500 MISSISSIPPI AVENUE SE,Elementary School,ES,Active,202-645-3409,,261, ,dcps_308,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,294523,308,308,N,571,1973,110800,400,319,401441.25,130427.6,294523,20032,-76.98339857,38.8416454
-76.976381191450784,38.883438357613343,10,Incarcerated Youth Program Correctional Detention Facility,1901 D STREET SE,Youth Engagement,YE,Active,202-698-5978,60,60,,dcps_947,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,295133,0, ,N,,,,,,402049.46,135066.23,295133,20003,-76.97637892,38.88343091
-76.926117759020357,38.883606284602386,11,C.W. Harris Elementary School,301 53RD STREET SE,Elementary School,ES,Active,202-645-3188,,224, ,dcps_247,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,289801,247,247,N,461,1964,56000,325,312,406410.5,135087.2,289801,20019,-76.9261155,38.88359883
