,NAME,FACUSE,STATUS,Longitude,Latitude,Text
0,Kelly Miller Middle School,Middle School,Active,-76.93245515,38.89331541,Kelly Miller Middle School. Middle School (Active)
1,Bruce-Monroe Elementary School @ Park View,Elementary School,Active,-77.02118567,38.9344141,Bruce-Monroe Elementary School @ Park View. Elementary School (Active)
2,Payne Elementary School,Elementary School,Active,-76.984984,38.885171,Payne Elementary School. Elementary School (Active)
3,Tubman Elementary School,Elementary School,Active,-77.0294433,38.92919857,Tubman Elementary School. Elementary School (Active)
4,Columbia Heights Education Campus 6–8 (CHEC),Middle School,Active,-77.03585831,38.92954477,Columbia Heights Education Campus 6–8 (CHEC). Middle School (Active)
5,King Elementary School,Elementary School,Active,-76.99823899,38.84244319,King Elementary School. Elementary School (Active)
6,Hyde-Addison Elementary School,Elementary School,Active,-77.06453782,38.90801957,Hyde-Addison Elementary School. Elementary School (Active)
7,Turner Elementary School,Elementary School,Active,-76.98031323,38.84763644,Turner Elementary School. Elementary School (Active)
8,Malcolm X Elementary School @ Green,Elementary School,Active,-76.98339857,38.8416454,Malcolm X Elementary School @ Green. Elementary School (Active)
9,Incarcerated Youth Program Correctional Detention Facility,Youth Engagement,Active,-76.97637892,38.88343091,Incarcerated Youth Program Correctional Detention Facility. Youth Engagement (Active)
10,C.W. Harris Elementary School,Elementary School,Active,-76.92611550000001,38.88359883,C.W. Harris Elementary School. Elementary School (Active)
11,LaSalle-Backus Education Campus,Elementary School,Active,-76.99988254,38.95997214,LaSalle-Backus Education Campus. Elementary School (Active)
12,Coolidge High School,High School,Active,-77.01957835,38.96728457,Coolidge High School. High School (Active)
13,Thomson Elementary School,Elementary School,Active,-77.02843003,38.90349634,Thomson Elementary School. Elementary School (Active)
14,Maury Elementary School,Elementary School,Active,-76.9886575,38.89218519,Maury Elementary School. Elementary School (Active)
15,Cardozo Education Campus,High School,Active,-77.02847069,38.92217286,Cardozo Education Campus. High School (Active)
16,Brightwood Education Campus,Elementary School,Active,-77.03068885,38.96053573,Brightwood Education Campus. Elementary School (Active)
