X,Y,OBJECTID,NAME,ADDRESS,WEB_URL,GIS_ID,XCOORD,YCOORD,ADDR_ID
-77.020715821185405,38.921285104698178,1,Howard University,2400 6TH STREET NW,http://www.howard.edu/,Univ_007,398129.26,139473.11,284379
-77.088303088725965,38.938335448417057,2,American University,4400 MASSACHUSETTS AVENUE NW,http://www.american.edu/,Univ_001,392334.76,141247.38,223994
-77.048019643393218,38.899759537442009,3,George Washington University,2121 I STREET NW,http://www.gwu.edu/,Univ_005,395865.51,137012.82,242496
-76.992220207354052,38.908125695646291,4,Gallaudet University,800 FLORIDA AVENUE NE,http://www.gallaudet.edu/,Univ_003,400439.78,137546.46,288964
-77.012956899524653,38.897658414986537,5,Georgetown Law School,600 NEW JERSEY AVENUE NW,http://www.law.georgetown.edu/,Univ_013,398907.09,136664.78,300811
-76.984588394447997,38.940730611391807,6,Howard University School of Divinity,1400 SHEPHERD STREET NE,http://www.howard.edu/divinity/,Univ_032,401458.58,141293.82,301065
-76.995481567096633,38.943192286052813,7,Marist College,815 VARNUM STREET NE,http://www.marist.edu/,Univ_028,400379.86,141688.38,288984
-77.000008241244728,38.938431008950324,8,Catholic University of America,620 MICHIGAN AVENUE NE,http://www.cua.edu/,Univ_002,400185.38,140548.79,300821
-77.065929470929021,38.944578819676408,9,University of the District of Columbia,4200 CONNECTICUT AVENUE NW,http://www.udc.edu/,Univ_012,394423.74,141839.77,297694
-76.998128981495341,38.931043237201742,10,Dominican House of Studies,487 MICHIGAN AVENUE NE,http://www.dhs.edu,Univ_016,400124.27,140381.78,288291
-77.052118521359048,38.925279861810502,11,Stanford in Washington,2661 CONNECTICUT AVENUE NW,http://www.stanford.edu/dept/siw/home.htm,Univ_023,395480.93,139710.41,219108
-77.002991841982407,38.927721965254797,12,Trinity College,125 MICHIGAN AVENUE NE,http://www.trinitydc.edu/,Univ_011,399628.64,139955.63,285983
-77.090737492220214,38.917874468030753,13,George Washington University at Mount Vernon College,2100 FOXHALL ROAD NW,http://www.mvc.gwu.edu/,Univ_004,392182.71,138937.84,224574
-77.02290670639691,38.942696724265268,14,Strayer University,1133 15TH STREET NW,http://www.strayer.edu/,Univ_010,397049.04,137444.64,240246
-76.999328165360353,38.927907560573225,15,Saint Pauls College,3015 4TH STREET NE,http://www.paulist.org/locations/dc_st_pauls_college.php,Univ_017,400115.34,139998.5,289740
-77.034472668473242,38.977370889565371,16,Our Lady of Lebanon Maronite Seminary,7164 ALASKA AVENUE NW,http://maroniteseminary.org/contactus.html,Univ_026,397018.08,145493.55,259410
-77.039426457978237,38.908323627866579,17,Johns Hopkins University Paul H. Nitze School of Advanced International Studies,1740 MASSACHUSETTS AVENUE NW,http://www.sais-jhu.edu/,Univ_033,396501.85,137803.69,241748
-77.079058386392433,38.950433744510036,18,Potomac College,4000 CHESAPEAKE STREET NW,http://www.potomac.edu/,Univ_027,393147.07,142517.08,265169
-76.999198098260152,38.890167945023045,19,Les Aspin Center for Government,502 EAST CAPITOL STREET NE,http://www.marquette.edu/aspin/,Univ_031,400069.61,135807.68,14853
-77.048468821338105,38.908371695121353,20,Cornell in Washington,2148 O STREET NW,http://www.ciw.cornell.edu/,Univ_034,395801.52,137837.37,242466
-77.094885189933663,38.94508272186998,21,American University Washington College of Law,4801 MASSACHUSETTS AVENUE NW,http://www.wcl.american.edu/,Univ_019,391768.93,141909.72,269573
-77.050638701909165,38.923785325332034,22,Syracuse University,2301 CALVERT STREET NW,http://greenberghouse.syr.edu/,Univ_024,395609.34,139543.52,236662
-77.03736241970789,38.906529325075269,23,University of California Washington Center,1608 RHODE ISLAND AVENUE NW,http://www.ucdc.edu/,Univ_030,396757.51,137628.05,279253
-76.999718351616238,38.93080318938155,24,Theological College,401 MICHIGAN AVENUE NE,http://www.theologicalcollege.org/,Univ_036,400003.48,140337.79,288071
-77.058221300192287,38.943552097964194,25,Howard University Law School,2900 VAN NESS STREET NW,http://www.law.howard.edu/,Univ_015,394831.75,141656.39,223093
-77.030274254660355,38.904033561828527,26,"NYU Washington, DC",1307 L STREET NW,http://www.nyu.edu/global/global-academic-centers/washington-dc.html,Univ_038,397376.62,137340.6,240639
-77.036061983071107,38.910511703549403,27,The Institute of World Politics,1521 16TH STREET NW,http://www.iwp.edu/,Univ_039,396870.89,138071.63,225686
-77.04670626274671,38.915494091252882,28,"ASU in Washington, DC",1834 CONNECTICUT AVENUE NW,"ASU in Washington, DC",Univ_037,395953.09,138625.73,235078
-77.014291698618862,38.866455884988696,29,National Defense University,300 5TH AVENUE SW,http://www.ndu.edu/,Univ_008,398691.52,133142.18,306779
-77.07492398834448,38.909000633381119,30,Georgetown University,3700 O STREET NW,http://www.georgetown.edu/,Univ_006,393618.3,137883.57,291456
